A	(A)[N]
Reissfestigkeit	(((reiss)[V],(fest)[A|V.])[A],(igkeit)[N|A.])[N]
Reissleine	((reiss)[V],(Leine)[N])[N]
Reissnagel	((reiss)[V],(Nagel)[N])[N]
Reissschiene	((reiss)[V],(Schiene)[N])[N]
Reissverschluss	((reiss)[V],(((ver)[V|.V],(schliess)[V])[V])[N])[N]
Reisswolle	((reiss)[V],(Wolle)[N])[N]
Reisszahn	((reiss)[V],(Zahn)[N])[N]
Reisszwecke	((reiss)[V],(Zwecke)[N])[N]
reiten	(reit)[V]
Reitbahn	((reit)[V],(Bahn)[N])[N]
Reiter	((reit)[V],(er)[N|V.])[N]
Reiterangriff	(((reit)[V],(er)[N|V.])[N],(((an)[V|.V],(greif)[V])[V])[N])[N]
Reiterei	((reit)[V],(erei)[N|V.])[N]
Reiterin	(((reit)[V],(er)[N|V.])[N],(in)[N|N.])[N]
reiterlich	(((reit)[V],(er)[N|V.])[N],(lich)[A|N.])[A]
Reiterregiment	(((reit)[V],(er)[N|V.])[N],((reg)[R],(iment)[N|R.])[N])[N]
Reitersmann	(((reit)[V],(er)[N|V.])[N],(s)[N|N.],(mann)[])[N]
Reitgerte	((reit)[V],(Gerte)[N])[N]
Reithose	((reit)[V],(Hose)[N])[N]
Reitlehrer	((reit)[V],((lehr)[V],(er)[N|V.])[N])[N]
Reitpeitsche	((reit)[V],(Peitsche)[N])[N]
Reitpferd	((reit)[V],(Pferd)[N])[N]
Reitstiefel	((reit)[V],(Stiefel)[N])[N]
Reitturnier	((reit)[V],(Turnier)[N])[N]
Reitweg	((reit)[V],(Weg)[N])[N]
reizen	(reiz)[V]
Reiz	((reiz)[V])[N]
reizbar	((reiz)[V],(bar)[A|V.])[A]
Reizbarkeit	(((reiz)[V],(bar)[A|V.])[A],(keit)[N|A.])[N]
Reizhusten	((reiz)[V],((Husten)[F])[N])[N]
Reizklima	((reiz)[V],(Klima)[N])[N]
reizlos	((reiz)[V],(los)[A|V.])[A]
Reizlosigkeit	(((reiz)[V],(los)[A|V.])[A],(igkeit)[N|A.])[N]
Reizmittel	((reiz)[V],(Mittel)[N])[N]
Reizschwelle	(((reiz)[V])[N],(Schwelle)[N])[N]
Reizung	((reiz)[V],(ung)[N|V.])[N]
reizvoll	(((reiz)[V])[N],(voll)[A|N.])[A]
Rekapitulation	((rekapitul)[R],(ation)[N|R.])[N]
rekapitulieren	((rekapitul)[R],(ier)[V|R.])[V]
rekeln	((Rekel)[N])[V]
Rekel	(Rekel)[N]
Rekelei	(((Rekel)[N])[V],(ei)[N|V.])[N]
Reklamant	((Reklame)[N],(ant)[N|N.])[N]
Reklamation	((Reklame)[N],(ation)[N|N.])[N]
Reklame	(Reklame)[N]
Reklamefeldzug	((Reklame)[N],((Feld)[N],((zieh)[V])[N])[N])[N]
reklamehaft	((Reklame)[N],(haft)[A|N.])[A]
Reklameplakat	((Reklame)[N],(Plakat)[N])[N]
Reklametrommel	((Reklame)[N],(Trommel)[N])[N]
reklamieren	((reklam)[R],(ier)[V|R.])[V]
Rekognoszierung	((rekognoszier)[V],(ung)[N|V.])[N]
Rekommandation	((rekommand)[R],(ation)[N|R.])[N]
Rekommandationsschreiben	(((rekommand)[R],(ation)[N|R.])[N],(s)[N|N.N],(Schreiben)[N])[N]
rekommandieren	((rekommand)[R],(ier)[V|R.])[V]
rekompensieren	((re)[V|.V],((kompens)[R],(ier)[V|R.])[V])[V]
rekonstruieren	((re)[V|.V],((konstru)[R],(ier)[V|R.])[V])[V]
Rekonstruierung	(((re)[V|.V],((konstru)[R],(ier)[V|R.])[V])[V],(ung)[N|V.])[N]
Rekonstruktion	((re)[N|.N],(Konstruktion)[N])[N]
Rekonvaleszent	((rekonvalesz)[R],(ent)[N|R.])[N]
Rekonvaleszentin	(((rekonvalesz)[R],(ent)[N|R.])[N],(in)[N|N.])[N]
Rekonvaleszenz	((rekonvalesz)[R],(enz)[N|R.])[N]
rekonvaleszieren	((rekonvalesz)[R],(ier)[V|R.])[V]
Rekordbesuch	((Rekord)[N],((besuch)[V])[N])[N]
Rekordversuch	((Rekord)[N],(((ver)[V|.V],(such)[V])[V])[N])[N]
Rekordzeit	((Rekord)[N],(Zeit)[N])[N]
Rekreation	((re)[N|.N],((kre)[R],(ation)[N|R.])[N])[N]
rekreieren	((re)[V|.V],(kreier)[V])[V]
rekrutieren	((Rekrut)[N],(ier)[V|N.])[V]
Rektalernaehrung	((rektal)[A],(((er)[V|.V],(naehr)[V])[V],(ung)[N|V.])[N])[N]
Rektalnarkose	((rektal)[A],(Narkose)[N])[N]
Rektapapier	((rekta)[R],(Papier)[N])[N]
Rektifikation	((rektifiz)[R],(ation)[N|R.])[N]
rektifizieren	((rektifiz)[R],(ier)[V|R.])[V]
Rektifizieranlage	(((rektifiz)[R],(ier)[V|R.])[V],(((an)[V|.V],(leg)[V])[V])[N])[N]
Rekto	(Rekto)[N]
Rektor	(Rektor)[N]
Rektorat	((Rektor)[N],(at)[N|N.])[N]
Rektoratsrede	(((Rektor)[N],(at)[N|N.])[N],(s)[N|N.N],((red)[V],(e)[N|V.])[N])[N]
Rektorenkonferenz	((Rektor)[N],(en)[N|N.N],((konfer)[R],(enz)[N|R.])[N])[N]
Rektorin	((Rektor)[N],(in)[N|N.])[N]
Rektoskopie	((Rektoskop)[N],(ie)[N|N.])[N]
rekultivieren	((re)[V|.V],((kultiv)[R],(ier)[V|R.])[V])[V]
rekursiv	((Rekurs)[N],(iv)[A|N.])[A]
Relationsbegriff	((Relation)[N],(s)[N|N.N],((begriff)[F])[N])[N]
Relativ	((relativ)[A])[N]
relativieren	((relativ)[A],(ier)[V|A.])[V]
Relativismus	((relativ)[A],(ismus)[N|A.])[N]
relativistisch	((relativ)[A],(istisch)[A|A.])[A]
Relativitaet	((relativ)[A],(itaet)[N|A.])[N]
Relativitaetstheorie	(((relativ)[A],(itaet)[N|A.])[N],(s)[N|N.N],(Theorie)[N])[N]
Relativpronomen	((relativ)[A],((pro)[N|.N],(Nomen)[N])[N])[N]
Relegation	((releg)[R],(ation)[N|R.])[N]
relegieren	((releg)[R],(ier)[V|R.])[V]
relevant	((relev)[R],(ant)[A|R.])[A]
Relevanz	((relev)[R],(anz)[N|R.])[N]
Reliefdruck	((Relief)[N],((druck)[V])[N])[N]
Reliefkarte	((Relief)[N],(Karte)[N])[N]
Reliefstickerei	((Relief)[N],((stick)[V],(erei)[N|V.])[N])[N]
Religion	((relig)[R],(ion)[N|R.])[N]
Religionsbekenntnis	(((relig)[R],(ion)[N|R.])[N],(s)[N|N.N],(((be)[V|.V],(kenn)[V])[V],(tnis)[N|V.])[N])[N]
Religionsbuch	(((relig)[R],(ion)[N|R.])[N],(s)[N|N.N],(Buch)[N])[N]
Religionsfreiheit	(((relig)[R],(ion)[N|R.])[N],(s)[N|N.N],((frei)[A],(heit)[N|A.])[N])[N]
Religionsfriede	(((relig)[R],(ion)[N|R.])[N],(s)[N|N.N],(Friede)[N])[N]
Religionsgemeinschaft	(((relig)[R],(ion)[N|R.])[N],(s)[N|N.N],((gemein)[A],(schaft)[N|A.])[N])[N]
Religionsgeschichte	(((relig)[R],(ion)[N|R.])[N],(s)[N|N.N],((gescheh)[V],(te)[N|V.])[N])[N]
Religionskrieg	(((relig)[R],(ion)[N|R.])[N],(s)[N|N.N],(Krieg)[N])[N]
Religionslehre	(((relig)[R],(ion)[N|R.])[N],(s)[N|N.N],((lehr)[V],(e)[N|V.])[N])[N]
Religionslehrer	(((relig)[R],(ion)[N|R.])[N],(s)[N|N.N],((lehr)[V],(er)[N|V.])[N])[N]
religionslos	(((relig)[R],(ion)[N|R.])[N],(s)[A|N.x],(los)[A|Nx.])[A]
Religionsphilosophie	(((relig)[R],(ion)[N|R.])[N],(s)[N|N.N],(Philosophie)[N])[N]
Religionspsychologie	(((relig)[R],(ion)[N|R.])[N],(s)[N|N.N],((Psyche)[N],(logie)[N|N.])[N])[N]
Religionssoziologie	(((relig)[R],(ion)[N|R.])[N],(s)[N|N.N],((sozio)[R],(logie)[N|R.])[N])[N]
Religionsstunde	(((relig)[R],(ion)[N|R.])[N],(s)[N|N.N],(Stunde)[N])[N]
Religionsunterricht	(((relig)[R],(ion)[N|R.])[N],(s)[N|N.N],(((unter)[P],(richt)[V])[V])[N])[N]
Religionswissenschaft	(((relig)[R],(ion)[N|R.])[N],(s)[N|N.N],(((wissen)[F])[N],(schaft)[N|N.])[N])[N]
religioes	((relig)[R],(ioes)[A|R.])[A]
Religiose	((Religiose)[F])[N]
Religiositaet	(((relig)[R],(ioes)[A|R.])[A],(itaet)[N|A.])[N]
Reliktenfauna	((Relikt)[N],(en)[N|N.N],((Faun)[N],(a)[N|N.])[N])[N]
Reling	(Reling)[N]
Reliquienbehaelter	((Reliquie)[N],(n)[N|N.N],(((be)[V|.V],(halt)[V])[V],(er)[N|V.])[N])[N]
Reliquienschrein	((Reliquie)[N],(n)[N|N.N],(Schrein)[N])[N]
remedieren	((remed)[R],(ier)[V|R.])[V]
Remedium	((remed)[R],(ium)[N|R.])[N]
Remedur	((remed)[R],(ur)[N|R.])[N]
remilitarisieren	((re)[V|.V],((Militaer)[N],(isier)[V|N.])[V])[V]
Remilitarisierung	(((re)[V|.V],((Militaer)[N],(isier)[V|N.])[V])[V],(ung)[N|V.])[N]
Remission	((remitt)[R],(ion)[N|R.])[N]
Remittende	(Remittende)[N]
Remittent	((remitt)[R],(ent)[N|R.])[N]
remittieren	((remitt)[R],(ier)[V|R.])[V]
remontant	((remont)[R],(ant)[A|R.])[A]
remontieren	((remont)[R],(ier)[V|R.])[V]
Remontierung	(((remont)[R],(ier)[V|R.])[V],(ung)[N|V.])[N]
rempeln	(rempel)[V]
Rempelei	((rempel)[V],(ei)[N|V.])[N]
Remuneration	((remuner)[R],(ation)[N|R.])[N]
remunerieren	((remuner)[R],(ier)[V|R.])[V]
Ren	(Ren)[N]
Renaissancedichter	((Renaissance)[N],((dicht)[V],(er)[N|V.])[N])[N]
Renaissancemaler	((Renaissance)[N],((mal)[V],(er)[N|V.])[N])[N]
Renaissancestil	((Renaissance)[N],(Stil)[N])[N]
Renditenhaus	((Rendite)[N],(n)[N|N.N],(Haus)[N])[N]
Renegatentum	((Renegat)[N],(en)[N|N.x],(tum)[N|Nx.])[N]
renitent	((renit)[R],(ent)[A|R.])[A]
Renitenz	((renit)[R],(enz)[N|R.])[N]
renken	(renk)[V]
Renke	(Renke)[N]
rennen	(renn)[V]
Rennbahn	((renn)[V],(Bahn)[N])[N]
Rennboot	((renn)[V],(Boot)[N])[N]
Rennen	((rennen)[F])[N]
Renner	((renn)[V],(er)[N|V.])[N]
Rennerei	((renn)[V],(erei)[N|V.])[N]
Rennfahrer	((renn)[V],((fahr)[V],(er)[N|V.])[N])[N]
Rennpferd	((renn)[V],(Pferd)[N])[N]
Rennrad	((renn)[V],(Rad)[N])[N]
Rennreiter	((renn)[V],((reit)[V],(er)[N|V.])[N])[N]
Rennsport	((renn)[V],(Sport)[N])[N]
Rennstall	((renn)[V],(Stall)[N])[N]
Rennstrecke	((renn)[V],((streck)[V],(e)[N|V.])[N])[N]
Rennwagen	((renn)[V],(Wagen)[N])[N]
Renonce	(Renonce)[N]
renoncieren	((Renonce)[N],(ier)[V|N.])[V]
Renovation	((renov)[R],(ation)[N|R.])[N]
renovieren	((renov)[R],(ier)[V|R.])[V]
Renovierung	(((renov)[R],(ier)[V|R.])[V],(ung)[N|V.])[N]
renovierungsbeduerftig	((((renov)[R],(ier)[V|R.])[V],(ung)[N|V.])[N],(s)[A|N.A],(((be)[V|.V],(duerf)[V])[V],(tig)[A|V.])[A])[A]
rentabel	((Rente)[N],(abel)[A|N.])[A]
Rentabilitaet	(((Rente)[N],(abel)[A|N.])[A],(itaet)[N|A.])[N]
Rentamt	((Rente)[N],(Amt)[N])[N]
Rente	(Rente)[N]
Rentenempfaenger	((Rente)[N],(n)[N|N.Vx],(empfang)[V],(er)[N|NxV.])[N]
Rentenmark	((Rente)[N],(n)[N|N.N],(Mark)[N])[N]
Rentenmarkt	((Rente)[N],(n)[N|N.N],(Markt)[N])[N]
rentenpflichtig	((Rente)[N],(n)[A|N.A],(((pfleg)[V])[N],(ig)[A|N.])[A])[A]
Rentenreform	((Rente)[N],(n)[N|N.N],(Reform)[N])[N]
Rentenversicherung	((Rente)[N],(n)[N|N.N],(((ver)[V|.V],((sicher)[A])[V])[V],(ung)[N|V.])[N])[N]
Rentenzahlung	((Rente)[N],(n)[N|N.N],((zahl)[V],(ung)[N|V.])[N])[N]
rentieren	((Rente)[N],(ier)[V|N.])[V]
Rentier	(Rentier)[N]
Rentner	((Rente)[N],(ner)[N|N.])[N]
Rentnerin	(((Rente)[N],(ner)[N|N.])[N],(in)[N|N.])[N]
renumerieren	((re)[V|.V],((Nummer)[N],(ier)[V|N.])[V])[V]
renunzieren	((renunz)[R],(ier)[V|R.])[V]
Reorganisation	((re)[N|.N],((organis)[R],(ation)[N|R.])[N])[N]
Reorganisator	((re)[N|.N],((organis)[R],(ator)[N|R.])[N])[N]
reorganisieren	((re)[V|.V],((organis)[R],(ier)[V|R.])[V])[V]
reparabel	((repar)[R],(abel)[A|R.])[A]
Reparation	((repar)[R],(ation)[N|R.])[N]
Reparationsleistung	(((repar)[R],(ation)[N|R.])[N],(s)[N|N.N],((leist)[V],(ung)[N|V.])[N])[N]
Reparatur	((repar)[R],(atur)[N|R.])[N]
reparaturanfaellig	(((repar)[R],(atur)[N|R.])[N],(((an)[V|.V],(fall)[V])[V],(ig)[A|V.])[A])[A]
reparaturbeduerftig	(((repar)[R],(atur)[N|R.])[N],(((be)[V|.V],(duerf)[V])[V],(tig)[A|V.])[A])[A]
reparieren	((repar)[R],(ier)[V|R.])[V]
Repatriierung	((repatriier)[V],(ung)[N|V.])[N]
Reperkussion	((re)[N|.N],((perkut)[R],(ion)[N|R.])[N])[N]
repetieren	((repet)[R],(ier)[V|R.])[V]
Repetitor	((repet)[R],(itor)[N|R.])[N]
replizieren	((repliz)[R],(ier)[V|R.])[V]
Reportage	((Report)[N],(age)[N|N.])[N]
Reporter	((Report)[N],(er)[N|N.])[N]
Reposition	((re)[N|.N],(Position)[N])[N]
repraesentabel	((repraesent)[R],(abel)[A|R.])[A]
Repraesentant	((repraesent)[R],(ant)[N|R.])[N]
Repraesentantenhaus	((Repraesentanten)[F],(Haus)[N])[N]
Repraesentantin	(((repraesent)[R],(ant)[N|R.])[N],(in)[N|N.])[N]
Repraesentation	((repraesent)[R],(ation)[N|R.])[N]
repraesentativ	((repraesent)[R],(ativ)[A|R.])[A]
Repraesentativgewalt	(((repraesent)[R],(ativ)[A|R.])[A],(Gewalt)[N])[N]
repraesentieren	((repraesent)[R],(ier)[V|R.])[V]
Repression	((repress)[R],(ion)[N|R.])[N]
repressionsfrei	(((repress)[R],(ion)[N|R.])[N],(s)[A|N.x],(frei)[A|Nx.])[A]
repressiv	((repress)[R],(iv)[A|R.])[A]
Reprivatisierung	((re)[N|.N],(((privat)[A],(isier)[V|A.])[V],(ung)[N|V.])[N])[N]
Reprobation	((reprob)[R],(ation)[N|R.])[N]
reprobieren	((reprob)[R],(ier)[V|R.])[V]
Reproduktion	((re)[N|.N],((Produkt)[N],(ion)[N|N.])[N])[N]
Reproduktionsfaktor	(((re)[N|.N],((Produkt)[N],(ion)[N|N.])[N])[N],(s)[N|N.N],(Faktor)[N])[N]
Reproduktionstechnik	(((re)[N|.N],((Produkt)[N],(ion)[N|N.])[N])[N],(s)[N|N.N],((techn)[R],(ik)[N|R.])[N])[N]
reproduzieren	((re)[V|.V],((produz)[R],(ier)[V|R.])[V])[V]
Republikaner	((Republik)[N],(aner)[N|N.])[N]
republikanisch	((Republik)[N],(anisch)[A|N.])[A]
Republikanismus	((republikan)[R],(ismus)[N|R.])[N]
Republikflucht	((Republik)[N],((flieh)[V])[N])[N]
republikfluechtig	(((Republik)[N],((flieh)[V])[N])[N],(ig)[A|N.])[A]
Repuls	(Repuls)[N]
Repulsion	((Repuls)[N],(ion)[N|N.])[N]
repulsiv	((Repuls)[N],(iv)[A|N.])[A]
Requisitenkammer	((Requisiten)[F],(Kammer)[N])[N]
Requisiteur	((Requisit)[N],(eur)[N|N.])[N]
Requisition	((Requisit)[N],(ion)[N|N.])[N]
Reservat	((reserv)[R],(at)[N|R.])[N]
Reservation	((reserv)[R],(ation)[N|R.])[N]
Reserve	((Reserve)[F])[N]
Reservefonds	(((Reserve)[F])[N],(Fonds)[N])[N]
Reserveoffizier	(((Reserve)[F])[N],(Offizier)[N])[N]
Reservereifen	(((Reserve)[F])[N],((Reif)[N],(en)[N|N.])[N])[N]
reservieren	((reserv)[R],(ier)[V|R.])[V]
Reserviertheit	((reserviert)[A],(heit)[N|A.])[N]
Reservierung	(((reserv)[R],(ier)[V|R.])[V],(ung)[N|V.])[N]
Reservist	(((Reserve)[F])[N],(ist)[N|N.])[N]
Resident	((resid)[R],(ent)[N|R.])[N]
Residenz	((resid)[R],(enz)[N|R.])[N]
Residenzstadt	(((resid)[R],(enz)[N|R.])[N],(Stadt)[N])[N]
Residenztheater	(((resid)[R],(enz)[N|R.])[N],(Theater)[N])[N]
residieren	((resid)[R],(ier)[V|R.])[V]
Resignation	((resign)[R],(ation)[N|R.])[N]
resignieren	((resign)[R],(ier)[V|R.])[V]
resistent	((resist)[R],(ent)[A|R.])[A]
Resistenz	((resist)[R],(enz)[N|R.])[N]
resolvieren	((resolv)[R],(ier)[V|R.])[V]
Resonanz	((reson)[R],(anz)[N|R.])[N]
Resonanzboden	(((reson)[R],(anz)[N|R.])[N],(Boden)[N])[N]
Resonanzkasten	(((reson)[R],(anz)[N|R.])[N],(Kasten)[N])[N]
resozialisieren	((re)[V|.V],(((sozi)[R],(al)[A|R.])[A],(isier)[V|A.])[V])[V]
Resozialisierung	(((re)[V|.V],(((sozi)[R],(al)[A|R.])[A],(isier)[V|A.])[V])[V],(ung)[N|V.])[N]
respektabel	((Respekt)[N],(abel)[A|N.])[A]
Respektabilitaet	(((Respekt)[N],(abel)[A|N.])[A],(itaet)[N|A.])[N]
respektieren	((Respekt)[N],(ier)[V|N.])[V]
Respektierung	(((Respekt)[N],(ier)[V|N.])[V],(ung)[N|V.])[N]
respektlos	((Respekt)[N],(los)[A|N.])[A]
Respektlosigkeit	(((Respekt)[N],(los)[A|N.])[A],(igkeit)[N|A.])[N]
Respektsperson	((Respekt)[N],(s)[N|N.N],(Person)[N])[N]
respektvoll	((Respekt)[N],(voll)[A])[A]
Respiration	((respir)[R],(ation)[N|R.])[N]
Respirationsapparat	(((respir)[R],(ation)[N|R.])[N],(s)[N|N.N],(Apparat)[N])[N]
Respirator	((respir)[R],(ator)[N|R.])[N]
respirieren	((respir)[R],(ier)[V|R.])[V]
Rest	(Rest)[N]
Restaurant	((restaur)[R],(ant)[N|R.])[N]
Restaurateur	((restaur)[R],(ateur)[N|R.])[N]
Restauration	((restaur)[R],(ation)[N|R.])[N]
Restaurationsarbeit	(((restaur)[R],(ation)[N|R.])[N],(s)[N|N.N],((arbeit)[V])[N])[N]
Restaurator	((restaur)[R],(ator)[N|R.])[N]
restaurieren	((restaur)[R],(ier)[V|R.])[V]
Restaurierung	(((restaur)[R],(ier)[V|R.])[V],(ung)[N|V.])[N]
Restbestand	((Rest)[N],((besteh)[V])[N])[N]
restituieren	((restitu)[R],(ier)[V|R.])[V]
restlich	((rest)[],(lich)[A|.])[A]
restlos	((rest)[],(los)[A|.])[A]
Restposten	((rest)[],(Posten)[N])[N]
Restriktion	((restring)[R],(ion)[N|R.])[N]
restriktiv	((restring)[R],(iv)[A|R.])[A]
Restsumme	((rest)[],(Summe)[N])[N]
Resultat	((result)[R],(at)[N|R.])[N]
resultativ	(((result)[R],(at)[N|R.])[N],(iv)[A|N.])[A]
resultatlos	(((result)[R],(at)[N|R.])[N],(los)[A|N.])[A]
resultieren	((result)[R],(ier)[V|R.])[V]
Retardation	((Retard)[N],(ation)[N|N.])[N]
retardieren	((Retard)[N],(ier)[V|N.])[V]
Retortenkohle	((Retorte)[N],(n)[N|N.N],(Kohle)[N])[N]
Retoursendung	((retour)[B],((send)[V],(ung)[N|V.])[N])[N]
retten	(rett)[V]
rettbar	((rett)[V],(bar)[A|V.])[A]
Retter	((rett)[V],(er)[N|V.])[N]
Retterin	(((rett)[V],(er)[N|V.])[N],(in)[N|N.])[N]
rettlos	((rett)[V],(los)[A|V.])[A]
Rettung	((rett)[V],(ung)[N|V.])[N]
Rettungsaktion	(((rett)[V],(ung)[N|V.])[N],(s)[N|N.N],(Aktion)[N])[N]
Rettungsanker	(((rett)[V],(ung)[N|V.])[N],(s)[N|N.N],(Anker)[N])[N]
Rettungsboot	(((rett)[V],(ung)[N|V.])[N],(s)[N|N.N],(Boot)[N])[N]
Rettungsdienst	(((rett)[V],(ung)[N|V.])[N],(s)[N|N.N],(Dienst)[N])[N]
Rettungsmannschaft	(((rett)[V],(ung)[N|V.])[N],(s)[N|N.N],((mann)[],(schaft)[N|.])[N])[N]
Rettungsschwimmen	(((rett)[V],(ung)[N|V.])[N],(s)[N|N.F],(schwimmen)[F])[N]
Retusche	((retusch)[R],(e)[N|R.])[N]
Retuscheur	(((retusch)[R],(e)[N|R.])[N],(eur)[N|N.])[N]
retuschieren	(((retusch)[R],(e)[N|R.])[N],(ier)[V|N.])[V]
reuen	(reu)[V]
Reue	((Reue)[F])[N]
reuevoll	(((Reue)[F])[N],(voll)[A])[A]
Reugeld	((reu)[V],(Geld)[N])[N]
reuig	(((Reue)[F])[N],(ig)[A|N.])[A]
reumuetig	(((Reue)[F])[N],((Mut)[N],(ig)[A|N.])[A])[A]
reunieren	((reun)[R],(ier)[V|R.])[V]
Reunion	((reun)[R],(ion)[N|R.])[N]
Reuse	(Reuse)[N]
Revakzination	((re)[N|.N],((Vakzine)[N],(ation)[N|N.])[N])[N]
revakzinieren	((re)[V|.V],((Vakzine)[N],(ier)[V|N.])[V])[V]
Revalierung	((revalier)[V],(ung)[N|V.])[N]
Revanche	(Revanche)[N]
Revanchekrieg	((Revanche)[N],(Krieg)[N])[N]
revanchelustig	((Revanche)[N],((Lust)[N],(ig)[A|N.])[A])[A]
Revanchespiel	((Revanche)[N],(Spiel)[N])[N]
revanchieren	((Revanche)[N],(ier)[V|N.])[V]
Revanchismus	((Revanche)[N],(ismus)[N|N.])[N]
Revanchist	((Revanche)[N],(ist)[N|N.])[N]
revanchistisch	((Revanche)[N],(istisch)[A|N.])[A]
Reverend	((rever)[R],(end)[N|R.])[N]
Reverenz	((rever)[R],(enz)[N|R.])[N]
Revident	((revid)[R],(ent)[N|R.])[N]
revidieren	((revid)[R],(ier)[V|R.])[V]
revieren	((Revier)[N])[V]
Revier	(Revier)[N]
Revierfoerster	((Revier)[N],((Forst)[N],(er)[N|N.])[N])[N]
revierkrank	((Revier)[N],(krank)[A])[A]
Revierkranke	((Revierkranke)[F])[N]
Revision	((revid)[R],(ion)[N|R.])[N]
Revisionismus	(((revid)[R],(ion)[N|R.])[N],(ismus)[N|N.])[N]
Revisionist	(((revid)[R],(ion)[N|R.])[N],(ist)[N|N.])[N]
revisionistisch	(((revid)[R],(ion)[N|R.])[N],(istisch)[A|N.])[A]
revitalisieren	((re)[V|.V],((vital)[R],(isier)[V|R.])[V])[V]
Revitalisierung	(((re)[V|.V],((vital)[R],(isier)[V|R.])[V])[V],(ung)[N|V.])[N]
Revolte	(Revolte)[N]
revoltieren	((Revolte)[N],(ier)[V|N.])[V]
revolutionaer	((Revolution)[N],(aer)[A|N.])[A]
Revolutionaer	((Revolution)[N],(ar)[N|N.])[N]
revolutionieren	((Revolution)[N],(ier)[V|N.])[V]
Revolverblatt	((Revolver)[N],(blatt)[N])[N]
Revolverdrehbank	((Revolver)[N],((dreh)[V],(Bank)[N])[N])[N]
Revolverheld	((Revolver)[N],(Held)[N])[N]
Revolverpresse	((Revolver)[N],((press)[V],(e)[N|V.])[N])[N]
Revuebuehne	((Revue)[N],(Buehne)[N])[N]
Rezensent	((rezens)[R],(ent)[N|R.])[N]
rezensieren	((rezens)[R],(ier)[V|R.])[V]
Rezension	((rezens)[R],(ion)[N|R.])[N]
Rezensionsexemplar	(((rezens)[R],(ion)[N|R.])[N],(s)[N|N.N],(Exemplar)[N])[N]
Rezensionsstueck	(((rezens)[R],(ion)[N|R.])[N],(s)[N|N.N],(Stueck)[N])[N]
rezent	(rezent)[A]
Rezept	(Rezept)[N]
Rezeptblock	((Rezept)[N],(Block)[N])[N]
rezeptfrei	((Rezept)[N],(frei)[A|N.])[A]
rezeptieren	((Rezept)[N],(ier)[V|N.])[V]
Rezeption	((rezept)[R],(ion)[N|R.])[N]
rezeptiv	((rezept)[R],(iv)[A|R.])[A]
Rezeptivitaet	(((rezept)[R],(iv)[A|R.])[A],(itaet)[N|A.])[N]
Rezeptor	((rezept)[R],(or)[N|R.])[N]
rezeptpflichtig	((Rezept)[N],(((pfleg)[V])[N],(ig)[A|N.])[A])[A]
Rezeptur	((Rezept)[N],(ur)[N|N.])[N]
Rezess	(Rezess)[N]
Rezession	((Rezess)[N],(ion)[N|N.])[N]
rezessiv	((Rezess)[N],(iv)[A|N.])[A]
Reziprozitaet	((reziprok)[A],(itaet)[N|A.])[N]
Rezitation	((rezit)[R],(ation)[N|R.])[N]
Rezitativ	((rezit)[R],(ativ)[N|R.])[N]
rezitativisch	(((rezit)[R],(ativ)[N|R.])[N],(isch)[A|N.])[A]
Rezitator	((rezit)[R],(ator)[N|R.])[N]
rezitieren	((rezit)[R],(ier)[V|R.])[V]
Rhabarber	(Rhabarber)[N]
Rhapsodie	((Rhapsode)[N],(ie)[N|N.])[N]
rhapsodisch	(((Rhapsode)[N],(ie)[N|N.])[N],(isch)[A|N.])[A]
Rhein	(Rhein)[N]
rheinabwaerts	((Rhein)[N],((ab)[P],(waerts)[B|P.])[B])[B]
rheinaufwaerts	((Rhein)[N],((auf)[P],(waerts)[B|P.])[B])[B]
rheinisch	((Rhein)[N],(isch)[A|N.])[A]
Rheinland	((Rhein)[N],(Land)[N])[N]
Rheinlaender	(((Rhein)[N],(Land)[N])[N],(er)[N|N.])[N]
rheinlaendisch	(((Rhein)[N],(Land)[N])[N],(isch)[A|N.])[A]
Rhesus	(Rhesus)[N]
Rhesusaffe	((Rhesus)[N],(Affe)[N])[N]
Rhesusfaktor	((Rhesus)[N],(Faktor)[N])[N]
Rhetorik	((rhetor)[R],(ik)[N|R.])[N]
rhetorisch	((rhetor)[R],(isch)[A|R.])[A]
Rheuma	(Rheuma)[N]
Rheumatiker	((Rheuma)[N],(tiker)[N|N.])[N]
rheumatisch	((Rheuma)[N],(tisch)[A|N.])[A]
ribbeln	(ribbel)[V]
Ribonukleinsaeure	((ribo)[R],(((nukle)[R],(in)[N|R.])[N],((sauer)[A],(e)[N|A.])[N])[N])[N]
richten	(richt)[V]
Richtantenne	((richt)[V],(Antenne)[N])[N]
Richter	((richt)[V],(er)[N|V.])[N]
Richteramt	(((richt)[V],(er)[N|V.])[N],(Amt)[N])[N]
Richterspruch	(((richt)[V],(er)[N|V.])[N],((sprech)[V])[N])[N]
Richterstuhl	(((richt)[V],(er)[N|V.])[N],(Stuhl)[N])[N]
richtig	((recht)[A],(ig)[A|A.])[A]
richtiggehend	(((recht)[A],(ig)[A|A.])[A],(gehend)[F])[A]
Richtigkeit	(((recht)[A],(ig)[A|A.])[A],(keit)[N|A.])[N]
richtigliegen	(((recht)[A],(ig)[A|A.])[A],(lieg)[V])[V]
richtigmachen	(((recht)[A],(ig)[A|A.])[A],(mach)[V])[V]
richtigstellen	(((recht)[A],(ig)[A|A.])[A],(stell)[V])[V]
Richtlatte	((richt)[V],(Latte)[N])[N]
